4NY,Johnson Landing Strip,"Millbrook, NY",New York,"Millbrook, NY",41,N,49,9,41.81916667,73,W,38,36,-73.64333333,1/1/2021 12:00:00 AM,,0,1
4PA,Total Rf Heliport,"Bensalem, PA",Pennsylvania,"Bensalem, PA",40,N,4,15,40.07083333,74,W,56,1,-74.93361111,10/1/2023 12:00:00 AM,,0,1
4TX,Lajitas International,"Lajitas, TX",Texas,"Lajitas, TX",29,N,16,38,29.27722222,103,W,41,9,-103.68583333,1/1/2021 12:00:00 AM,,0,1
5AK,Lawing Airport,"Lawing, AK",Alaska,"Lawing, AK",60,N,24,43,60.41194444,149,W,22,10,-149.36944444,6/1/2023 12:00:00 AM,,0,1
5CA,Gray Butte Field,"Palmdale, CA",California,"Palmdale/Lancaster, CA",34,N,34,0,34.56666666,117,W,40,13,-117.67027778,1/1/2024 12:00:00 AM,,0,1
5FL,St George Island,"Apalachicola, FL",Florida,"Apalachicola, FL",29,N,38,40,29.64444444,84,W,54,56,-84.91555556,1/1/2024 12:00:00 AM,,0,1
5GA,Tom B David Field,"Calhoun, GA",Georgia,"Calhoun, GA",34,N,27,19,34.45527778,84,W,56,21,-84.93916667,7/1/2023 12:00:00 AM,,0,1
5NJ,Prudential Center Heliport,"Newark, NJ",New Jersey,"New York City, NY (Metropolitan Area)",40,N,44,0,40.73333333,74,W,10,19,-74.17194444,1/1/2024 12:00:00 AM,,0,1
5NY,Malone Dufort,"Malone, NY",New York,"Malone, NY",44,N,51,13,44.85361111,74,W,19,44,-74.32888889,1/1/2021 12:00:00 AM,,0,1
5PA,Allentown Queen City Municipal,"Allentown, PA",Pennsylvania,"Allentown, PA",40,N,34,13,40.57027778,75,W,29,18,-75.48833333,1/1/2024 12:00:00 AM,,0,1
5TX,South Texas International at Edinburg,"Edinburg, TX",Texas,"Edinburg, TX",26,N,26,30,26.44166667,98,W,7,20,-98.12222222,1/1/2021 12:00:00 AM,,0,1
6AK,Newtok Seaplane Base,"Newtok, AK",Alaska,"Newtok, AK",60,N,55,25,60.92361111,164,W,39,22,-164.65611111,12/1/2023 12:00:00 AM,,0,1
6B0,Middlebury State,"Middlebury, VT",Vermont,"Middlebury, VT",43,N,59,5,43.98472222,73,W,5,45,-73.09583333,7/1/2010 12:00:00 AM,9/30/2011 12:00:00 AM,0,0
6B0,Middlebury State,"Middlebury, VT",Vermont,"Middlebury, VT",43,N,59,5,43.98472222,73,W,5,45,-73.09583333,11/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
6B0,Middlebury State,"Middlebury, VT",Vermont,"Middlebury, VT",43,N,59,8,43.98555556,73,W,5,44,-73.09555556,10/1/2011 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
6B0,Middlebury State,"Middlebury, VT",Vermont,"Middlebury, VT",43,N,59,8,43.98555556,73,W,5,44,-73.09555556,12/1/2017 12:00:00 AM,9/30/2022 12:00:00 AM,0,0
6B0,Middlebury State,"Middlebury, VT",Vermont,"Middlebury, VT",43,N,59,11,43.98638889,73,W,5,44,-73.09555556,10/1/2022 12:00:00 AM,,0,1
6CA,Little River Airport,"Little River, CA",California,"Little River, CA",39,N,15,43,39.26194444,123,W,45,14,-123.75388889,1/1/2024 12:00:00 AM,,0,1
6GA,Habersham County,"Cornelia, GA",Georgia,"Cornelia, GA",34,N,29,59,34.49972222,83,W,33,24,-83.55666667,7/1/2023 12:00:00 AM,,0,1
6NJ,Ocean Casino Resort,"Atlantic City, NJ",New Jersey,"Atlantic City, NJ",39,N,21,44,39.36222222,74,W,24,58,-74.41611111,10/1/2023 12:00:00 AM,,0,1
6NY,Sag Harbor,"New York, NY",New York,"New York City, NY (Metropolitan Area)",41,N,0,32,41.00888889,72,W,16,31,-72.27527778,10/1/2021 12:00:00 AM,9/30/2022 12:00:00 AM,1,1
6PA,Franklin County Regional,"Chambersburg, PA",Pennsylvania,"Chambersburg, PA",39,N,58,23,39.97305556,77,W,38,36,-77.64333333,1/1/2024 12:00:00 AM,,0,1
6TX,Real County,"Leakey, TX",Texas,"Leakey, TX",29,N,44,44,29.74555556,99,W,45,39,-99.76083333,1/1/2021 12:00:00 AM,,0,1
7AK,Akun Airport,"Akun, AK",Alaska,"Akun, AK",54,N,8,41,54.14472222,165,W,36,15,-165.60416667,10/1/2012 12:00:00 AM,,0,1
7NJ,Meadowlands 2 Nj Complex Heliport,"East Rutherford, NJ",New Jersey,"East Rutherford, NJ",40,N,48,56,40.81555556,74,W,4,14,-74.07055556,10/1/2023 12:00:00 AM,,0,1
7NY,Shelter Island,"New York, NY",New York,"New York City, NY (Metropolitan Area)",41,N,4,45,41.07916667,72,W,20,21,-72.33916667,10/1/2021 12:00:00 AM,9/30/2022 12:00:00 AM,1,1
7TX,Possum Kingdom,"Graford, TX",Texas,"Graford, TX",32,N,55,24,32.92333333,98,W,26,13,-98.43694444,1/1/2021 12:00:00 AM,,0,1
8AK,Willow Conocophillips,"Nuiqsut, AK",Alaska,"Nuiqsut, AK",70,N,6,39,70.11083333,152,W,7,47,-152.12972222,9/1/2024 12:00:00 AM,,0,1
8F3,Crosbyton Municipal,"Crosbyton, TX",Texas,"Crosbyton, TX",33,N,37,26,33.62388889,101,W,14,27,-101.24083333,1/1/2009 12:00:00 AM,,0,1
8NJ,Helo Kearny Heliport,"Kearny, NJ",New Jersey,"Kearny, NJ",40,N,43,54,40.73166667,74,W,7,0,-74.11666667,1/1/2024 12:00:00 AM,,0,1
8NY,Noyack ,"New York, NY",New York,"New York City, NY (Metropolitan Area)",41,N,0,58,41.01611110,72,W,20,21,-72.33916667,10/1/2021 12:00:00 AM,9/30/2022 12:00:00 AM,1,1
8TX,McGregor Exec,"Waco, TX",Texas,"Waco, TX",31,N,29,6,31.48500000,97,W,19,0,-97.31666667,5/1/2023 12:00:00 AM,,0,1
8TX,McGregor Executive,"Waco, TX",Texas,"Waco, TX",31,N,29,6,31.48500000,97,W,19,0,-97.31666667,1/1/2021 12:00:00 AM,4/30/2023 12:00:00 AM,0,0
9NY,Sbnysh,"Shelter Island, NY",New York,"Shelter Island, NY",41,N,5,34,41.09277778,72,W,18,57,-72.31583333,4/1/2022 12:00:00 AM,9/30/2022 12:00:00 AM,1,1
9TX,Center Municipal,"Center, TX",Texas,"Center, TX",31,N,49,54,31.83166667,94,W,9,23,-94.15638889,1/1/2021 12:00:00 AM,,0,1
A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",Alaska,"Fairbanks, AK",64,N,21,49,64.36361111,147,W,21,50,-147.36388889,7/1/2011 12:00:00 AM,,0,1
A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",Alaska,"Fairbanks, AK",64,N,21,51,64.36416667,147,W,21,41,-147.36138889,10/1/2002 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
A02,Deadmans Bay Airport,"Deadmans Bay, AK",Alaska,"Deadmans Bay, AK",57,N,4,0,57.06666667,153,W,56,16,-153.93777778,6/1/2002 12:00:00 AM,,0,1
A03,Hallo Bay Airport,"Hallo Bay, AK",Alaska,"Hallo Bay, AK",58,N,27,27,58.45750000,154,W,1,24,-154.02333333,4/1/2002 12:00:00 AM,,0,1
A04,Red Lake Airport,"Red Lake, AK",Alaska,"Red Lake, AK",57,N,16,38,57.27722222,154,W,20,32,-154.34222222,9/1/2002 12:00:00 AM,,0,1
A05,Shell Lake Airport,"Shell Lake, AK",Alaska,"Shell Lake, AK",61,N,57,50,61.96388889,151,W,33,21,-151.55583333,11/1/2002 12:00:00 AM,,0,1
A06,Navigator Airstrip,"Kougarok, AK",Alaska,"Kougarok, AK",65,N,39,20,65.65555556,165,W,21,23,-165.35638889,6/1/2002 12:00:00 AM,,0,1
A07,Roland Norton Memorial,"Selawik, AK",Alaska,"Selawik, AK",66,N,45,58,66.76611111,160,W,9,10,-160.15277778,7/1/2011 12:00:00 AM,,0,1
